"id";"subject";"isbn";"author";"title";"volume";"publisher";"price"
41;"STORIA";9788822172778;"CASTRONOVO VALERIO";"MILLEDUEMILA - UN MONDO AL PLURALE 1 - EDIZIONE MISTA DAL MILLE AL SEICENTO + CITTADINANZA";"primo";"LA NUOVA ITALIA EDITRICE";27.7
42;"ITALIANO LETTERATURA";9788822173539;"SAMBUGAR MARTA SALA' GABRIELLA";"VISIBILE PARLARE 1 SET - EDIZIONE MISTA DALLO STILNOVO A TASSO (VOLUME + GUIDA STUDENTE + ESPANSIONE ONLINE)";"primo";"LA NUOVA ITALIA EDITRICE";34.9
43;"ITALIANO LETTERATURA";9788822174710;"SAMBUGAR MARTA SALA' GABRIELLA";"VISIBILE PARLARE ORIGINI SET - EDIZIONE MISTA VOLUME + ESPANSIONE ONLINE";"unico";"LA NUOVA ITALIA EDITRICE";5.1
44;"ITALIANO";9788823434110;"AA VV";"DIVINA COMMEDIA (LA) - EDIZIONE INTEGRALE IN COLLABORAZIONE CON MUSEO CASA DI DANTE";"unico";"BULGARINI";28.3
45;"LATINO";9788824436557;"ANSELMI GIAMPIERO SORVILLO DANIELE";"VERBUM PRO VERBO VERSIONI LATINE PER IL QUINTO ANNO DELLA SCUOLA SECONDARIA SUPERIORE";"primo";"SIMONE PER LA SCUOLA";16
46;"ITALIANO LETTERATURA";9788826815213;"BARBERI SQUAROTTI GIORGIO AMORETTI GIANGIACOMO BALBIS GIANNINO";"CONTESTI LETTERARI 1 + STRUMENTI DI ANALISI DALLE ORIGINI AL TRECENTO";"primo";"ATLAS";19
47;"ITALIANO LETTERATURA";9788826815220;"BARBERI SQUAROTTI GIORGIO AMORETTI GIANGIACOMO BALBIS GIANNINO";"CONTESTI LETTERARI 2 DALL'UMANESIMO ALLA CONTRORIFORMA";"secondo";"ATLAS";19
48;"STORIA DELL'ARTE";9788826816166;"DORFLES GILLO RAGAZZI MARCELLO RECANATI MARIA GRAZIA";"ARTE E ARTISTI 1 DALLA PREISTORIA AL TRECENTO";"primo";"ATLAS";19.5
49;"LATINO";9788828608608;"AUTORI VARI";"price";"unico";"EINAUDI SCUOLA";7.3
50;"LATINO";9788828608622;"AUTORI VARI";"THESAURUS - VIRGILIO IL NUOVO OMERO ROMANO";"unico";"EINAUDI SCUOLA";7.3
51;"GRECO";9788828609483;"GUIDORIZZI GIULIO";"LETTERATURA GRECA 1 L'ETA ARCAICA";"primo";"EINAUDI SCUOLA";31.4
52;"INGLESE";9788835029281;"RIGOTTI ALOISIA BARTIROMO ARMANDO BRAWNE PAUL";"TIMELINES AN OUTLINE OF ENGLISH AND AMERICAN HISTORY AND LITERATURE";"primo";"LA SCUOLA EDITRICE";25.2
